"FacName","FacStreet","FacCity","FacState","RegistryID","lat","lon","FacSNCFlg","FacQtrsWithNC","FacInspectionCount","Over80CountUs","FacFormalActionCount","FacMapFlg","DFR URL","id","RAW_D_MINOR","RAW_D_INCOME","RAW_D_LESSHS","RAW_D_LING","RAW_D_UNDER5","RAW_D_OVER64","RAW_D_UNEMPLOYED","RAW_D_INDEX","RAW_E_LEAD","RAW_E_DIESEL","RAW_E_CANCER","RAW_E_RESP","RAW_E_TRAFFIC","RAW_E_NPDES","RAW_E_NPL","RAW_E_RMP","RAW_E_TSDF","RAW_E_O3","RAW_E_PM25","RAW_E_UST","S_D_MINOR","S_D_INCOME","S_D_LESSHS","S_D_LING","S_D_UNDER5","S_D_OVER64","S_D_UNEMPLOYED","S_D_INDEX","S_E_LEAD","S_E_DIESEL","S_E_CANCER","S_E_RESP","S_E_TRAFFIC","S_E_NPDES","S_E_NPL","S_E_RMP","S_E_TSDF","S_E_O3","S_E_PM25","S_E_UST","S_D_MINOR_PER","S_D_INCOME_PER","S_D_LESSHS_PER","S_D_LING_PER","S_D_UNDER5_PER","S_D_OVER64_PER","S_D_UNEMPLOYED_PER","S_D_INDEX_PER","S_E_LEAD_PER","S_E_DIESEL_PER","S_E_CANCER_PER","S_E_RESP_PER","S_E_TRAFFIC_PER","S_E_NPDES_PER","S_E_NPL_PER","S_E_RMP_PER","S_E_TSDF_PER","S_E_O3_PER","S_E_PM25_PER","S_E_UST_PER","S_P_LEAD","S_P_DIESEL","S_P_CANCER","S_P_RESP","S_P_TRAFFIC","S_P_NPDES","S_P_NPL","S_P_RMP","S_P_TSDF","S_P_O3","S_P_PM25","S_P_UST","R_D_MINOR","R_D_INCOME","R_D_LESSHS","R_D_LING","R_D_UNDER5","R_D_OVER64","R_D_UNEMPLOYED","R_D_INDEX","R_E_LEAD","R_E_DIESEL","R_E_CANCER","R_E_RESP","R_E_TRAFFIC","R_E_NPDES","R_E_NPL","R_E_RMP","R_E_TSDF","R_E_O3","R_E_PM25","R_E_UST","R_D_MINOR_PER","R_D_INCOME_PER","R_D_LESSHS_PER","R_D_LING_PER","R_D_UNDER5_PER","R_D_OVER64_PER","R_D_UNEMPLOYED_PER","R_D_INDEX_PER","R_E_LEAD_PER","R_E_DIESEL_PER","R_E_CANCER_PER","R_E_RESP_PER","R_E_TRAFFIC_PER","R_E_NPDES_PER","R_E_NPL_PER","R_E_RMP_PER","R_E_TSDF_PER","R_E_O3_PER","R_E_PM25_PER","R_E_UST_PER","R_P_LEAD","R_P_DIESEL","R_P_CANCER","R_P_RESP","R_P_TRAFFIC","R_P_NPDES","R_P_NPL","R_P_RMP","R_P_TSDF","R_P_O3","R_P_PM25","R_P_UST","N_D_MINOR","N_D_INCOME","N_D_LESSHS","N_D_LING","N_D_UNDER5","N_D_OVER64","N_D_UNEMPLOYED","N_D_INDEX","N_E_LEAD","N_E_DIESEL","N_E_CANCER","N_E_RESP","N_E_TRAFFIC","N_E_NPDES","N_E_NPL","N_E_RMP","N_E_TSDF","N_E_O3","N_E_PM25","N_E_UST","N_D_MINOR_PER","N_D_INCOME_PER","N_D_LESSHS_PER","N_D_LING_PER","N_D_UNDER5_PER","N_D_OVER64_PER","N_D_UNEMPLOYED_PER","N_D_INDEX_PER","N_E_LEAD_PER","N_E_DIESEL_PER","N_E_CANCER_PER","N_E_RESP_PER","N_E_TRAFFIC_PER","N_E_NPDES_PER","N_E_NPL_PER","N_E_RMP_PER","N_E_TSDF_PER","N_E_O3_PER","N_E_PM25_PER","N_E_UST_PER","N_P_LEAD","N_P_DIESEL","N_P_CANCER","N_P_RESP","N_P_TRAFFIC","N_P_NPDES","N_P_NPL","N_P_RMP","N_P_TSDF","N_P_O3","N_P_PM25","N_P_UST","stateAbbr","stateName","epaRegion","totalPop","NUM_NPL","NUM_TSDF","statLayerCount","statLayerZeroPopCount","weightLayerCount","timeSeconds","distance","unit","statlevel","inputAreaMiles","lon","lat","pdfurl"
"PREGIS INNOVATIVE PACKAGING, INC.","8201 W ELOWIN CT","VISALIA","CA",110013850038,36.342343,-119.381073,"Y",12,557,0,17,"Y","https://echo.epa.gov/detailed-facility-report?fid=110013850038",160,54,29,15,7,9,11,4,42,0.044,0.393,37,0.5,240,0.69,0.031,1.9,1.7,64.9,17.6,1.3,63,31,17,9,6,14,6,47,0.29,0.33,31,0.43,1300,74,0.18,1.1,5.2,48.1,11.7,3.7,37,54,55,53,75,45,40,42,27,65,92,93,44,70,16,82,26,91,99,42,51,52,52,57,39,12,45,82,39,60,61,55,60,31,16,8,6,15,6,46,0.23,0.33,30,0.41,1300,59,0.15,1,4.4,49.6,10.8,3.3,41,53,58,58,75,44,41,45,36,63,91,94,45,71,22,85,34,93,99,45,56,55,56,61,42,14,51,84,43,62,65,58,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,68,53,70,78,77,35,49,65,27,77,93,95,51,91,28,89,67,98,99,51,71,74,74,78,61,11,71,92,69,81,84,73,"CA","CALIFORNIA",9,20779,0,2,13,0,379,0.290987,2.5,9035,"blockgroup",19.63,-119.381073,36.342343,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-119.381073,""y"":36.342343}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"PRETIUM PACKAGING LLC","ONE DEVCO DRIVE","MANCHESTER","PA",110056138308,40.046138,-76.720451,"Y",11,5,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110056138308",161,10,17,10,1,6,14,2,14,0.3,0.247,30,0.3,130,50,0.16,1.7,3.9,41,9.19,1.1,24,28,9,2,6,18,5,26,0.47,0.269,31,0.32,580,66,0.19,0.81,1.4,42.1,8.72,3.4,45,34,63,64,59,32,28,33,35,47,84,67,34,92,68,86,91,28,72,49,34,21,19,21,39,3,16,3,1,20,18,30,33,27,10,3,6,16,5,30,0.35,0.267,30,0.34,680,33,0.15,0.63,1.9,41.9,8.2,2.7,30,39,60,61,55,41,29,23,54,49,85,52,36,96,75,90,86,37,88,53,20,15,15,18,31,1,9,1,2,16,12,21,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,21,30,54,50,51,47,28,16,63,51,83,47,39,98,79,87,84,38,66,48,11,12,10,15,24,0,6,1,2,14,11,19,"PA","PENNSYLVANIA",3,12097,0,10,14,0,330,0.2549597,2.5,9035,"blockgroup",19.63,-76.720451,40.046138,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-76.720451,""y"":40.046138}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"PRIME RESOURCES CORPORATION","1100 BOSTON AVE","BRIDGEPORT","CT",110001407736,41.19374,-73.17312,"Y",8,2,11,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110001407736",162,77,44,22,15,7,12,12,60,0.67,0.315,30,0.3,1500,0.0039,0.22,1.1,7.6,45.2,7.94,4.3,33,23,9,5,5,17,6,28,0.44,0.201,23,0.28,600,0.047,0.14,0.56,3,42.8,7.39,3.1,88,83,88,88,71,28,86,87,80,92,99,100,89,69,87,85,93,90,88,75,89,90,89,88,95,88,93,94,91,88,88,87,25,23,9,5,5,17,5,24,0.44,0.227,23,0.28,1300,0.4,0.15,0.6,3.8,39.8,6.68,3,92,84,90,89,71,28,91,91,76,81,99,91,80,73,84,82,89,97,97,77,93,92,93,91,94,90,95,94,93,93,93,92,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,81,73,82,89,60,37,89,82,87,65,82,47,88,61,87,79,93,77,31,75,93,81,80,77,93,82,87,88,93,82,79,85,"CT","CONNECTICUT",1,148018,0,15,125,0,1914,0.6089148,2.5,9035,"blockgroup",19.63,-73.17312,41.19374,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-73.17312,""y"":41.19374}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"PROAMPAC","701 A ST NE","AUBURN","WA",110060261620,47.314228,-122.229673,"Y",12,5,2,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110060261620",163,45,28,13,8,7,13,6,37,0.16,0.561,49,0.72,560,0.0013,0.11,0.87,6.5,35.9,7.82,10,31,26,9,4,6,15,5,29,0.22,0.336,35,0.52,710,0.021,0.19,0.65,2.2,35.3,7.86,6.1,75,62,78,83,63,44,65,74,56,84,97,93,69,89,55,76,92,66,64,82,63,80,79,79,78,12,77,87,87,77,77,83,28,28,9,3,6,16,5,28,0.22,0.312,33,0.47,600,0.53,0.13,0.66,1.7,37.2,8.17,4.5,81,55,77,86,64,42,63,75,56,85,97,95,73,76,68,75,94,49,46,87,65,83,81,81,80,26,80,88,90,78,78,85,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,61,50,64,79,64,42,63,59,49,91,98,99,71,51,70,72,91,14,29,89,50,67,65,66,65,34,64,74,77,62,62,74,"WA","WASHINGTON",10,52690,0,15,44,0,801,0.363943,2.5,9035,"blockgroup",19.63,-122.229673,47.314228,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-122.229673,""y"":47.314228}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"PUTNAM PLASTICS CORP","130 LOUISA VIENS DR","DAYVILLE","CT",110058884033,41.87268,-71.90044,"Y",11,1,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110058884033",164,8,24,10,1,5,15,1,16,0.42,0.106,20,0.2,120,0.00081,0.1,0.056,1.4,41.1,6.45,1.1,33,23,9,5,5,17,6,28,0.44,0.201,23,0.28,600,0.047,0.14,0.56,3,42.8,7.39,3.1,18,65,68,40,59,45,15,42,52,5,67,21,39,51,64,2,35,8,10,48,35,53,41,47,34,33,29,63,35,39,42,31,25,23,9,5,5,17,5,24,0.44,0.227,23,0.28,1300,0.4,0.15,0.6,3.8,39.8,6.68,3,33,61,69,48,60,44,19,46,50,18,67,31,29,53,60,8,42,67,40,49,39,53,44,50,49,34,34,65,37,38,40,34,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,17,43,55,47,47,54,18,22,72,14,32,14,36,47,67,5,63,38,7,47,12,38,31,36,29,30,16,47,15,25,31,24,"CT","CONNECTICUT",1,5404,0,2,11,0,176,0.2569761,2.5,9035,"blockgroup",19.63,-71.90044,41.87268,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-71.90044,""y"":41.87268}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"RACEWAY TECHNOLOGY","1427 E 26TH ST","TACOMA","WA",110015564263,47.243057,-122.403893,"Y",12,4,11,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110015564263",165,51,41,14,6,6,11,8,46,0.49,0.576,40,0.6,1100,4.3e-05,0.47,2.5,4.5,34.5,7.98,13,31,26,9,4,6,15,5,29,0.22,0.336,35,0.52,710,0.021,0.19,0.65,2.2,35.3,7.86,6.1,81,81,80,78,55,36,77,85,84,86,92,87,84,60,90,95,86,53,76,86,89,89,85,85,88,86,93,94,91,84,84,89,28,28,9,3,6,16,5,28,0.22,0.312,33,0.47,600,0.53,0.13,0.66,1.7,37.2,8.17,4.5,85,78,79,82,56,34,76,87,85,86,94,91,87,46,94,94,90,38,54,91,90,90,87,88,90,85,95,95,93,85,85,91,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,65,70,67,75,56,34,75,70,77,92,97,98,85,26,94,93,86,10,32,92,78,78,72,74,80,68,89,87,83,68,69,84,"WA","WASHINGTON",10,42385,1,10,50,0,1213,0.4139463,2.5,9035,"blockgroup",19.63,-122.403893,47.243057,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-122.403893,""y"":47.243057}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"REALIZE INCORPORATED","15515 ENDEAVOR DRIVE","NOBLESVILLE","IN",110070631050,40.01441,-85.99138,"Y",11,1,0,2,"Y","https://echo.epa.gov/detailed-facility-report?fid=110070631050",166,19,19,4,1,8,9,4,19,0.11,0.369,24,0.3,410,0.53,0.046,0.39,0.67,45.1,9.2,1.4,21,32,11,2,6,15,5,26,0.34,0.28,23,0.3,540,0.34,0.17,0.82,1.6,44.1,9.2,2.8,62,31,22,71,70,17,52,44,27,77,81,88,63,93,30,49,43,96,57,56,45,1,1,2,4,4,11,7,14,2,2,12,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,56,36,30,66,73,18,51,44,24,77,76,79,63,91,38,50,44,71,57,49,45,0,0,1,3,5,10,7,12,0,1,14,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,34,33,25,51,71,21,46,28,41,74,55,47,64,91,39,54,49,76,66,51,25,0,1,1,3,4,7,5,9,0,0,8,"IN","INDIANA",5,36618,0,1,14,0,634,0.3319924,2.5,9035,"blockgroup",19.63,-85.99138,40.01441,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-85.99138,""y"":40.01441}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"RETAL PA LLC","55 S WASHINGTON ST","DONORA","PA",110070100030,40.165271,-79.858645,"Y",9,1,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110070100030",167,18,33,8,0,6,22,5,26,0.71,0.267,73,0.31,240,0.054,0.022,2,1.5,43,8.83,1.1,24,28,9,2,6,18,5,26,0.47,0.269,31,0.32,580,66,0.19,0.81,1.4,42.1,8.72,3.4,61,67,51,58,63,72,62,67,73,53,98,70,48,80,4,88,70,61,42,48,33,46,24,55,35,16,71,17,31,56,55,36,33,27,10,3,6,16,5,30,0.35,0.267,30,0.34,680,33,0.15,0.63,1.9,41.9,8.2,2.7,43,69,49,56,60,76,62,54,83,53,99,55,48,84,7,92,68,64,75,53,19,37,19,48,28,11,60,11,24,46,45,27,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,33,59,44,46,56,79,60,42,88,55,99,50,52,81,20,90,64,57,56,48,11,29,13,39,22,11,45,9,22,37,36,23,"PA","PENNSYLVANIA",3,18102,0,2,21,0,1133,0.4177756,2.5,9035,"blockgroup",19.63,-79.858645,40.165271,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-79.858645,""y"":40.165271}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"RIEKE PACKAGING SYSTEM","2855 E BELLFONTAINE RD","HAMILTON","IN",110058445614,41.5395,-84.93403,"Y",1,0,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110058445614",168,3,22,5,0,6,22,4,13,0.43,0.173,20,0.2,1.4,0.27,0.023,0.11,0.49,44.7,8.56,0.16,21,32,11,2,6,15,5,26,0.34,0.28,23,0.3,540,0.34,0.17,0.82,1.6,44.1,9.2,2.8,17,38,27,65,53,81,55,22,69,19,67,16,4,90,6,9,38,84,5,28,17,47,43,50,69,5,60,62,41,40,42,49,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,12,44,37,60,57,78,54,24,62,30,60,26,3,88,13,13,38,58,29,26,19,41,41,47,68,6,54,56,39,35,37,50,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,6,40,31,45,56,79,48,13,73,32,32,14,2,89,20,17,43,72,48,26,11,31,34,39,53,4,40,40,27,26,26,38,"IN","INDIANA",5,2253,0,1,5,0,164,0.2349624,2.5,9035,"blockgroup",19.63,-84.93403,41.5395,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-84.93403,""y"":41.5395}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"RIVER FIBERGLASS POOLS, INC.","196 SELFTOWN RD","WARSAW","VA",110056293817,37.965506,-76.780518,"Y",9,11,1,1,"Y","https://echo.epa.gov/detailed-facility-report?fid=110056293817",169,35,31,18,1,5,22,3,33,0.29,0.0974,30,0.3,130,2.3,0.076,0.13,0.33,40,6.81,0.24,38,25,10,3,6,15,5,32,0.21,0.238,31,0.36,660,6.2,0.11,0.38,0.65,40.1,7.55,1.8,50,67,81,57,41,80,43,60,74,9,84,40,39,98,58,38,56,44,15,32,52,62,60,61,46,98,59,58,57,60,61,49,33,27,10,3,6,16,5,30,0.35,0.267,30,0.34,680,33,0.15,0.63,1.9,41.9,8.2,2.7,61,65,83,59,44,77,38,65,52,7,85,52,36,93,47,25,38,23,6,31,63,66,64,65,51,96,64,64,63,65,65,52,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,53,56,75,49,40,80,37,54,62,11,83,47,39,95,57,21,38,32,10,29,49,55,53,54,41,93,51,54,52,54,55,43,"VA","VIRGINIA",3,2233,0,1,3,0,108,0.2559397,2.5,9035,"blockgroup",19.63,-76.780518,37.965506,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-76.780518,""y"":37.965506}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"SERVICE STEEL AEROSPACE","4609 70TH AVE E","FIFE","WA",110024422962,47.215124,-122.333987,"Y",2,0,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110024422962",170,29,20,8,2,6,14,4,25,0.24,0.486,40,0.61,760,1e-04,0.12,0.84,3.6,35.7,7.94,7.8,31,26,9,4,6,15,5,29,0.22,0.336,35,0.52,710,0.021,0.19,0.65,2.2,35.3,7.86,6.1,54,46,59,58,52,50,49,49,66,76,92,88,76,66,57,75,81,65,74,77,22,32,45,42,30,23,41,27,16,49,50,19,28,28,9,3,6,16,5,28,0.22,0.312,33,0.47,600,0.53,0.13,0.66,1.7,37.2,8.17,4.5,61,38,57,64,52,48,47,49,67,77,94,92,80,52,70,74,86,48,53,82,22,31,43,40,30,37,34,30,14,51,51,18,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,47,36,46,60,53,47,47,40,58,86,97,98,78,31,72,71,82,14,32,85,23,22,30,24,24,42,27,26,11,44,42,12,"WA","WASHINGTON",10,34963,0,5,36,0,617,0.3349258,2.5,9035,"blockgroup",19.63,-122.333987,47.215124,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-122.333987,""y"":47.215124}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"SHAMROCK TECHNOLOGIES","301 COMMUNITY DR","HENDERSON","KY",110043760506,37.80407,-87.63694,"Y",3,17,1,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110043760506",171,20,54,20,0,5,12,11,37,0.2,0.19,26,0.3,270,0.05,0.052,1.7,0.98,44,9.48,0.85,15,37,14,1,6,16,6,26,0.23,0.226,29,0.36,380,1.3,0.039,0.67,0.77,42.4,8.9,1.1,74,79,76,73,42,31,86,81,60,50,63,46,65,85,80,88,77,74,72,62,85,85,85,84,85,95,88,90,88,85,85,87,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,34,82,78,51,46,36,87,57,75,40,53,27,64,89,60,90,80,93,92,45,69,61,60,59,68,92,64,78,74,61,61,65,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,36,84,79,45,44,40,88,60,53,36,61,47,54,80,43,87,56,67,74,43,68,63,63,62,67,86,64,77,68,64,64,68,"KY","KENTUCKY",4,4949,0,2,7,0,158,0.2759375,2.5,9035,"blockgroup",19.63,-87.63694,37.80407,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-87.63694,""y"":37.80407}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"SHINTECH PLAQUEMINE PLANT","26270 HIGHWAY 405","PLAQUEMINE","LA",110000572675,30.2594,-91.1737,"Y",12,68,6,10,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000572675",172,77,40,13,1,3,23,4,58,0.2,0.291,120,0.63,170,0.077,0.03,1.5,1.7,36.9,9.84,0.15,41,39,15,2,7,15,6,40,0.2,0.298,41,0.45,560,0.42,0.086,0.91,1.4,37.2,9.22,2,82,55,48,67,19,86,41,76,67,59,99,97,47,88,33,79,68,45,80,27,81,76,96,83,73,93,70,85,83,76,77,63,52,36,15,6,7,13,5,44,0.16,0.219,32,0.37,470,0.5,0.08,0.83,0.8,41.1,9.32,2,73,59,52,42,15,87,46,71,73,76,99,99,47,90,39,83,85,24,66,23,79,73,92,78,65,91,63,80,85,64,67,53,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,81,68,63,50,20,82,46,81,53,60,99,99,43,83,26,84,67,17,81,25,80,78,96,85,73,91,71,87,81,76,79,67,"LA","LOUISIANA",6,327,0,5,4,0,37,0.2499383,2.5,9035,"blockgroup",19.63,-91.1737,30.2594,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-91.1737,""y"":30.2594}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"SILGAN PLASTIC FOOD CONTAINERS","1701 AR HWY 45","FORT SMITH","AR",110070158492,35.315944,-94.386528,"Y",11,0,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110070158492",173,28,36,9,2,6,16,5,32,0.1,0.248,40,0.58,330,0.013,0.012,0.72,1.6,40.6,9.91,2.7,28,40,13,2,6,17,5,34,0.15,0.179,35,0.48,180,0.47,0.037,0.64,0.55,41.3,9.27,1,61,43,37,79,48,51,64,56,51,76,98,98,83,81,18,73,89,34,95,88,41,34,41,41,23,12,51,17,14,44,43,31,52,36,15,6,7,13,5,44,0.16,0.219,32,0.37,470,0.5,0.08,0.83,0.8,41.1,9.32,2,26,53,40,48,41,66,61,36,59,64,94,99,65,77,9,64,83,51,71,72,22,27,26,24,22,11,36,16,12,30,29,26,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,45,63,51,57,50,56,61,52,39,51,97,98,59,71,6,68,66,35,82,64,43,41,35,33,34,19,53,22,27,45,42,38,"AR","ARKANSAS",6,20708,0,3,19,0,536,0.3089388,2.5,9035,"blockgroup",19.63,-94.386528,35.315944,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-94.386528,""y"":35.315944}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"SONOCO HICKORY, INC. - HICKORY PLANT","1246 MAIN AVENUE SE","HICKORY","NC",110000891447,35.73841,-81.31404,"Y",5,45,3,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000891447",174,37,45,14,3,5,18,10,41,0.25,0.245,34,0.4,420,0.00044,0.032,0.83,3.3,42.3,8.27,6.2,37,34,12,2,6,16,6,36,0.16,0.182,29,0.37,350,0.25,0.082,0.39,0.83,41.7,7.74,3.4,56,72,64,78,40,66,82,65,80,77,97,94,75,56,36,88,95,59,56,84,78,72,68,67,77,26,66,80,86,66,67,81,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,55,70,63,73,41,65,82,63,81,55,89,78,74,55,45,77,97,79,56,84,79,67,65,64,74,25,65,74,89,65,64,79,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,54,75,67,65,39,68,83,64,59,50,89,81,64,42,28,71,81,50,41,82,75,68,68,67,72,33,65,73,79,67,66,80,"NC","NORTH CAROLINA",4,28736,0,7,28,0,833,0.3539434,2.5,9035,"blockgroup",19.63,-81.31404,35.73841,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-81.31404,""y"":35.73841}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"SONOCO PRODUCTS CO","1850 COMMERCE RD","RICHMOND","VA",110001889225,37.496601,-77.433209,"Y",2,102,10,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110001889225",175,76,51,18,3,6,11,7,63,0.48,0.34,52,0.41,820,0.043,0.11,1.8,2.9,40.3,8.13,2.5,38,25,10,3,6,15,5,32,0.21,0.238,31,0.36,660,6.2,0.11,0.38,0.65,40.1,7.55,1.8,89,89,83,72,52,36,78,93,87,81,99,96,79,95,75,97,96,52,76,73,96,94,97,93,92,98,92,98,98,92,93,92,33,27,10,3,6,16,5,30,0.35,0.267,30,0.34,680,33,0.15,0.63,1.9,41.9,8.2,2.7,86,88,85,75,56,28,74,91,69,70,97,96,77,83,62,91,81,26,42,69,92,92,98,94,91,95,90,97,93,92,92,91,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,80,81,77,63,52,33,71,85,76,70,99,83,79,79,69,89,78,33,37,63,90,86,94,87,88,92,87,93,90,86,85,84,"VA","VIRGINIA",3,46961,0,7,41,0,1212,0.4749262,2.5,9035,"blockgroup",19.63,-77.433209,37.496601,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-77.433209,""y"":37.496601}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"SOUTHERN MICHIGAN RUBBER INC","10298 M-60 WEST","THREE RIVERS","MI",110009026231,41.906868,-85.754389,"Y",8,1,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110009026231",176,3,24,16,0,4,25,5,14,0.29,0.134,20,0.2,2.2,2e-05,0.04,0.097,0.15,44,8.59,0.046,25,32,9,2,6,17,6,28,0.37,0.209,23,0.25,830,0.41,0.15,0.53,1.1,43.8,8.75,7.3,11,43,84,65,35,84,51,25,50,30,70,50,4,21,24,21,28,35,41,15,38,49,50,52,69,59,54,55,54,48,47,60,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,14,46,82,59,31,86,58,27,48,17,60,26,3,20,32,10,22,43,30,19,40,57,54,58,69,60,52,63,58,50,51,57,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,7,43,72,45,31,86,53,15,62,21,32,14,3,21,34,14,24,67,49,20,22,42,42,46,54,47,38,45,44,37,37,43,"MI","MICHIGAN",5,1233,0,0,5,0,110,0.2389653,2.5,9035,"blockgroup",19.63,-85.754389,41.906868,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-85.754389,""y"":41.906868}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
